repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
kubernetes/kubernetes,129981,cmwylie19,2025-02-04T18:44:05Z,,2025-02-09T14:02:41Z,1,64.7375,115.31,215,2,ardaguclu,https://api.github.com/repos/kubernetes/kubernetes/pulls/129981
kubernetes/kubernetes,129980,AwesomePatrol,2025-02-04T14:39:41Z,,2025-02-06T21:45:17Z,13,1.4469444444444444,55.093333333333334,4,2,"deads2k, serathius, liggitt, jpbetz, AwesomePatrol",https://api.github.com/repos/kubernetes/kubernetes/pulls/129980
kubernetes/kubernetes,129968,sanposhiho,2025-02-03T20:25:22Z,2025-02-04T09:36:59Z,2025-02-04T09:36:59Z,0,,13.19361111111111,4,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129968
kubernetes/kubernetes,129966,cpanato,2025-02-03T17:45:22Z,2025-02-07T17:31:57Z,2025-02-07T17:31:58Z,2,0.155,95.77638888888889,22,7,"Verolop, saschagrunert",https://api.github.com/repos/kubernetes/kubernetes/pulls/129966
kubernetes/kubernetes,129965,cpanato,2025-02-03T17:42:47Z,2025-02-07T20:11:55Z,2025-02-07T20:11:55Z,1,94.53611111111111,98.48555555555555,320,7,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/129965
kubernetes/kubernetes,129964,cpanato,2025-02-03T17:40:18Z,2025-02-07T17:19:55Z,2025-02-07T17:19:55Z,1,94.57305555555556,95.66027777777778,82,7,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/129964
kubernetes/kubernetes,129963,cpanato,2025-02-03T17:36:30Z,2025-02-07T20:15:55Z,2025-02-07T20:15:55Z,3,0.09888888888888889,98.65694444444445,82,7,"Verolop, Charlesnorris509, saschagrunert",https://api.github.com/repos/kubernetes/kubernetes/pulls/129963
kubernetes/kubernetes,129962,cpanato,2025-02-03T17:27:23Z,2025-02-05T13:48:16Z,2025-02-05T13:48:16Z,1,38.81861111111111,44.348055555555554,22,7,saschagrunert,https://api.github.com/repos/kubernetes/kubernetes/pulls/129962
kubernetes/kubernetes,129956,chrischdi,2025-02-03T14:22:02Z,2025-02-05T15:02:16Z,2025-02-05T15:02:16Z,8,0.1025,48.67055555555555,138,6,"neolit123, chrischdi",https://api.github.com/repos/kubernetes/kubernetes/pulls/129956
kubernetes/kubernetes,129943,Gofastasf,2025-02-01T10:05:59Z,,2025-02-04T11:19:33Z,1,71.16555555555556,73.22611111111111,58,10,neolit123,https://api.github.com/repos/kubernetes/kubernetes/pulls/129943
kubernetes/kubernetes,129940,vinayakankugoyal,2025-01-31T22:30:03Z,2025-02-14T15:46:22Z,2025-02-14T15:46:22Z,0,,329.27194444444444,19,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129940
